filename,language,task,model,accuracy,clarity,usefulness
binary_search.py,python,summarization,openai,5,5,5
binary_search.py,python,documentation,openai,5,5,5
binary_search.py,python,bug_detection,openai,5,5,5
quick_sort.py,python,summarization,openai,5,5,5
quick_sort.py,python,documentation,openai,5,5,5
quick_sort.py,python,bug_detection,openai,5,5,5
reverse_string.py,python,summarization,openai,5,5,5
reverse_string.py,python,documentation,openai,5,5,5
reverse_string.py,python,bug_detection,openai,5,5,5
class_example.py,python,summarization,openai,5,5,5
class_example.py,python,documentation,openai,5,5,5
class_example.py,python,bug_detection,openai,5,5,5
average_list.py,python,summarization,openai,5,5,5
average_list.py,python,documentation,openai,5,5,5
average_list.py,python,bug_detection,openai,5,5,5
add_two_numbers.py,python,summarization,openai,5,5,5
add_two_numbers.py,python,documentation,openai,5,5,5
add_two_numbers.py,python,bug_detection,openai,5,5,5
is_even.py,python,summarization,openai,5,5,5
is_even.py,python,documentation,openai,5,5,5
is_even.py,python,bug_detection,openai,5,5,5
factorial.py,python,summarization,openai,5,5,5
factorial.py,python,documentation,openai,5,5,5
factorial.py,python,bug_detection,openai,5,5,5
graph_dfs.py,python,summarization,openai,5,5,5
graph_dfs.py,python,documentation,openai,5,5,5
graph_dfs.py,python,bug_detection,openai,5,5,5
palindrome_check.py,python,summarization,openai,5,5,5
palindrome_check.py,python,documentation,openai,4,5,4
palindrome_check.py,python,bug_detection,openai,5,5,5
fibonacci.py,python,summarization,openai,5,5,5
fibonacci.py,python,documentation,openai,5,5,5
fibonacci.py,python,bug_detection,openai,5,5,5
factorial.cpp,cpp,summarization,openai,5,5,5
factorial.cpp,cpp,documentation,openai,5,5,5
factorial.cpp,cpp,bug_detection,openai,5,5,5
fibonacci.cpp,cpp,summarization,openai,5,5,5
fibonacci.cpp,cpp,documentation,openai,5,5,5
fibonacci.cpp,cpp,bug_detection,openai,5,5,5
quick_sort.cpp,cpp,summarization,openai,5,5,5
quick_sort.cpp,cpp,documentation,openai,5,5,5
quick_sort.cpp,cpp,bug_detection,openai,5,5,5
add_two_numbers.cpp,cpp,summarization,openai,5,5,5
add_two_numbers.cpp,cpp,documentation,openai,5,5,5
add_two_numbers.cpp,cpp,bug_detection,openai,5,5,5
reverse_string.cpp,cpp,summarization,openai,5,5,5
reverse_string.cpp,cpp,documentation,openai,5,5,5
reverse_string.cpp,cpp,bug_detection,openai,5,5,5
palindrome_check.cpp,cpp,summarization,openai,5,5,5
palindrome_check.cpp,cpp,documentation,openai,5,5,5
palindrome_check.cpp,cpp,bug_detection,openai,5,5,5
graph_dfs.cpp,cpp,summarization,openai,5,5,5
